postproc_func,1/x
"a poly [a_0, a_1, ...]","b poly  [b_0, b_1, ...]",u,l,c,d,postfunc(cont_frac),(u/pi+pi/l+c)/d
"(-1, -2, 0)","(0, 0, 1)",0,-4,0,1,-0.78539816339744830961566084581987572104929234984356,-0.78539816339744830961566084581987572104929234984378
"(1, 2, 0)","(0, 0, 1)",0,-4,0,1,0.78539816339744830961566084581987572104929234984356,-0.78539816339744830961566084581987572104929234984378
"(-1, -2, 0)","(0, 0, 1)",0,-2,0,2,-0.78539816339744830961566084581987572104929234984356,-0.7853981633974483096156608458198757210492923498438
"(1, 2, 0)","(0, 0, 1)",0,-2,0,2,0.78539816339744830961566084581987572104929234984356,-0.7853981633974483096156608458198757210492923498438
"(-1, -2, 0)","(0, 0, 1)",0,-1,0,4,-0.78539816339744830961566084581987572104929234984356,-0.78539816339744830961566084581987572104929234984378
"(1, 2, 0)","(0, 0, 1)",0,-1,0,4,0.78539816339744830961566084581987572104929234984356,-0.78539816339744830961566084581987572104929234984378
"(-1, -2, 0)","(0, 0, 1)",0,1,0,4,-0.78539816339744830961566084581987572104929234984356,0.78539816339744830961566084581987572104929234984378
"(1, 2, 0)","(0, 0, 1)",0,1,0,4,0.78539816339744830961566084581987572104929234984356,0.78539816339744830961566084581987572104929234984378
"(-1, -2, 0)","(0, 0, 1)",0,2,0,2,-0.78539816339744830961566084581987572104929234984356,0.7853981633974483096156608458198757210492923498438
"(1, 2, 0)","(0, 0, 1)",0,2,0,2,0.78539816339744830961566084581987572104929234984356,0.7853981633974483096156608458198757210492923498438
"(-1, -2, 0)","(0, 0, 1)",0,4,0,1,-0.78539816339744830961566084581987572104929234984356,0.78539816339744830961566084581987572104929234984378
"(1, 2, 0)","(0, 0, 1)",0,4,0,1,0.78539816339744830961566084581987572104929234984356,0.78539816339744830961566084581987572104929234984378
