postproc_funcs,"['lambda x: dec_sin(x/18)', 'lambda x: 2*dec_sin(x/18)', 'lambda x: dec_sin(2*safe_inverse(x)/9)', 'lambda x: 2*dec_sin(2*safe_inverse(x)/9)']",target_name,"percolation, 1"
"a poly [a_0, a_1, ...]","b poly  [b_0, b_1, ...]",procpost_func index,u,l,c,d,convergence type,convergence rate,postfunc(cont_frac),(u/pi+pi/l+c)/d
"((-1, -2, 0),)","((0, 0, 1),)",2,0,-2,0,1,exp,"(Decimal('5.5520662719116079794771414568348701533613704620851'), Decimal('0.050012045739215719809162528386529027011960858897241'))",-0.17364817766693034885171662676931479600037567718405,-0.17364817766693034885171662676931479600037567718407
"((1, 2, 0),)","((0, 0, 1),)",2,0,-2,0,-1,exp,"(Decimal('5.5520662719116079794771414568348701533613704620851'), Decimal('0.050012045739215719809162528386529027011960858897241'))",0.17364817766693034885171662676931479600037567718405,0.17364817766693034885171662676931479600037567718407
"((-1, -2, 0),)","((0, 0, 1),)",3,0,-1,0,1,exp,"(Decimal('5.5520662719116079794771414568348701533613704620851'), Decimal('0.050012045739215719809162528386529027011960858897241'))",-0.34729635533386069770343325353862959200075135436810,-0.34729635533386069770343325353862959200075135436814
"((1, 2, 0),)","((0, 0, 1),)",3,0,-1,0,-1,exp,"(Decimal('5.5520662719116079794771414568348701533613704620851'), Decimal('0.050012045739215719809162528386529027011960858897241'))",0.34729635533386069770343325353862959200075135436810,0.34729635533386069770343325353862959200075135436814
"((-1, -2, 0),)","((0, 0, 1),)",2,0,-1,0,2,exp,"(Decimal('5.5520662719116079794771414568348701533613704620851'), Decimal('0.050012045739215719809162528386529027011960858897241'))",-0.17364817766693034885171662676931479600037567718405,-0.17364817766693034885171662676931479600037567718407
"((1, 2, 0),)","((0, 0, 1),)",2,0,-1,0,-2,exp,"(Decimal('5.5520662719116079794771414568348701533613704620851'), Decimal('0.050012045739215719809162528386529027011960858897241'))",0.17364817766693034885171662676931479600037567718405,0.17364817766693034885171662676931479600037567718407
"((-1, -2, 0),)","((0, 0, 1),)",3,0,1,0,-1,exp,"(Decimal('5.5520662719116079794771414568348701533613704620851'), Decimal('0.050012045739215719809162528386529027011960858897241'))",-0.34729635533386069770343325353862959200075135436810,-0.34729635533386069770343325353862959200075135436814
"((1, 2, 0),)","((0, 0, 1),)",3,0,1,0,1,exp,"(Decimal('5.5520662719116079794771414568348701533613704620851'), Decimal('0.050012045739215719809162528386529027011960858897241'))",0.34729635533386069770343325353862959200075135436810,0.34729635533386069770343325353862959200075135436814
"((-1, -2, 0),)","((0, 0, 1),)",2,0,1,0,-2,exp,"(Decimal('5.5520662719116079794771414568348701533613704620851'), Decimal('0.050012045739215719809162528386529027011960858897241'))",-0.17364817766693034885171662676931479600037567718405,-0.17364817766693034885171662676931479600037567718407
"((1, 2, 0),)","((0, 0, 1),)",2,0,1,0,2,exp,"(Decimal('5.5520662719116079794771414568348701533613704620851'), Decimal('0.050012045739215719809162528386529027011960858897241'))",0.17364817766693034885171662676931479600037567718405,0.17364817766693034885171662676931479600037567718407
"((-1, -2, 0),)","((0, 0, 1),)",2,0,2,0,-1,exp,"(Decimal('5.5520662719116079794771414568348701533613704620851'), Decimal('0.050012045739215719809162528386529027011960858897241'))",-0.17364817766693034885171662676931479600037567718405,-0.17364817766693034885171662676931479600037567718407
"((1, 2, 0),)","((0, 0, 1),)",2,0,2,0,1,exp,"(Decimal('5.5520662719116079794771414568348701533613704620851'), Decimal('0.050012045739215719809162528386529027011960858897241'))",0.17364817766693034885171662676931479600037567718405,0.17364817766693034885171662676931479600037567718407
